mem_id,trans_id,similar_trans,desc,date_diff,date_var,amt,cat,discret,sub,label
1.00E+15,1.00E+16,10012356593950200|10012356593949600|10012356620574300,cvspharmacyfortmyers,3.76,10.01,90.88,Healthcare/Medical,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,onlinepaymenttostudentassistancefoundation,4,NA,0,Education,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812225671300|10002812238534300|10002812238534300|10002812252316300|10002812252316300|10002812268137100|10002812268137100,purchasefinancecharge,2.45,5.27,30.81,Service Charges/Fees,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004268645200|10000004269097200|10000004269385800|10000004269880000|10000004272572100,atmwithdrawaleto,2.74,8.32,153.4,ATM/Cash Withdrawals,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,purchaseauthorizedonsideboarddanvillecascard,0,NA,0.4,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004271361600|10000004271399600|10000004272402600,checkcardnordstrombellevuewa,1.1,1.99,22.33,Clothing/Shoes,FALSE,TRUE,0
1.00E+15,1.00E+16,10008396798565700|10008396822784700|10008396832453900|10008396853529500,citibankatmwithdrawalmar,1.14,0.75,311.48,ATM/Cash Withdrawals,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,bkofamericaatmdepositstapleybaselimesaaz,0,NA,0,Deposits,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,uberuberdfkfr,1.14,NA,3.4,Travel,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004272531400|10000004272492900|10000004272531400|10000004273043600|10000004273333700|10000004273888600,purchaseauthorizedonbambudessertsdrisunnyvalecascard,1.55,2.6,0.06,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,chickfilanorthrichlatustrandatetime,4.14,NA,0,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,circlekpurchaseecharlestonlasvegasnv,0,NA,0,Gasoline/Fuel,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,achelectroniccreditmaywwwtradesycomtransfer,2.29,NA,161.39,Transfers,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396746155100|10008396766421900|10008396797545400,bkofamericaatmdepositsantamonicasantamonicaca,2.14,0.24,1204.82,Deposits,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004269789700|10000004271509700|10000004271509700,debitfrontieracitizp,1.81,9.82,0,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,pwithdrwlstevensplaccommerceca,0,NA,35.8,ATM/Cash Withdrawals,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,postransactiondrlynnajonesbellevuewaus,3.57,NA,484.64,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004269759300|10000004270860400|10000004271194000,shelloilofordmi,3,3.33,0.28,Gasoline/Fuel,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396795159200|10008396851179300|10008396902177100,checkcardpurchasemelaleucabackuporderid,5.67,5.19,0,Personal Care,FALSE,TRUE,1
1.00E+15,1.00E+16,1.00E+16,towncountrymagazin,0,NA,0,Hobbies,FALSE,TRUE,0
1.00E+15,1.00E+16,1.00E+16,purchaseauthorizedonjambajuicesanjosecascard,9,NA,0.61,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,purchasereturnauthorizedontargetttargettmountainviewcapcard,8.43,NA,1.09,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004268900700|10000004271554400|10000004271554400,colectivocoffeebayvimilwaukeewi,3.71,16.96,1.84,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+18,1000137222708730000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223160000000|1000137223231450000|1000137223231450000|1000137223368780000|1000137223368780000|1000137223368780000|1000137223368780000|1000137223368780000|1000137223498690000|1000137223498690000|1000137223498690000|1000137223498690000|1000137223498690000|1000137223498690000|1000137223498690000|1000137223498690000|1000137223642740000|1000137223642740000|1000137223642740000|1000137223642740000|1000137223642740000|1000137223642740000|1000137223642740000|1000137223642740000|1000137223786920000|1000137223786920000|1000137223786920000|1000137223786920000|1000137223786920000|1000137223786920000|1000137223786920000|1000137223786920000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000|1000137223901260000,rickeroilcompadespreauthpmtidshchindncoid,0.23,0.1,13.97,Gasoline/Fuel,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,bppaypalbethelnorthfirstssanjosecacard,0,NA,0,Other Expenses,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396707301800|10008396718262300,keepthechangetransfercanceledlowacctbalance,0.57,0.37,NA,Transfers,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004273401100|10000004273401100|10000004273401200,purchaseauthorizedonchickfilawalnutcreekcascard,0,0,3.04,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004270215400|10000004271554400|10000004273029400,activitiesallowancemeg,4.24,0.05,0,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,fedwirecreditviacitibanknaborobertastrasb,7.14,NA,1.85,Other Income,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,quizzlellcdetroitmiusa,2.71,NA,0.17,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,sunnyislesparkingmeter,0.43,NA,0,Travel,FALSE,FALSE,0
1.00E+15,1.00E+16,10012356593943100|10012356593943100|10012356593943100|10012356593943100|10012356593942200|10012356600934100|10012356600934100,publicstorage,1.82,5.16,0,Rent,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,virginamer,0,NA,0,Travel,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004268900700|10000004269461100|10000004269542900|10000004269754500|10000004271015800|10000004271594800|10000004273717400|10000004273847500,nordstromtransppdid,2.3,4.89,68.84,Clothing/Shoes,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396310321500|10008396409288300|10008396315730800|10008396347701600,eonmobilmorelesswestbrookctservicestationswithorwithoutancillaryservices,4.29,12.75,0.1,Gasoline/Fuel,FALSE,FALSE,0
1.61E+18,-2.34E+18,-2336738853270310000|-2336738853260450000|-2336738853252950000|-2336738853246330000|-2336738853229660000|-2336738853215680000,winndiiedavie,1.83,0.99,13.83,Groceries,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,checkcardworldwrappsnwincbellevuewa,3.29,NA,0.02,Restaurants/Dining,FALSE,TRUE,0
1.00E+15,1.00E+16,1.00E+16,senorlocosplanotusa,2,NA,0.72,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,sunocodouglasvillegausa,0,NA,0,Gasoline/Fuel,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,checkcardpotbellydallast,0.14,NA,0,Restaurants/Dining,FALSE,TRUE,0
1.00E+15,1.00E+16,10008396887142700|10008396918788500,onlinepaymenttoprovidencemultimediagroup,4,4.08,250,Credit Card Payments,FALSE,FALSE,1
1.61E+18,-2.34E+18,-2336738853263190000|-2336738853240790000|-2336738853217540000|-2336738853194300000,interestchargedonpurchases,4.36,0.01,2.51,Interest,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396803739500|10008396881860100|10008396889336600|10008396889336600|10008396901888400|10008396907651800|10008396912219400|10008396912219400,olestavernsanclementeca,1.25,4.52,3.25,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+17,1.00E+17,macyseastfriscotx,3.71,NA,4.71,Clothing/Shoes,FALSE,FALSE,0
1.00E+15,1.00E+16,10002812398581900|10002812418513500|10002812418513500|10002812418513500|10002812418513500|10002812422256000|10002812422256000|10002812424232000|10002812436282500|10002812436282500|10002812436282500|10002812436282500,debitpurchasemarepochcomicftechnol,0.7,1.34,137.75,Online Services,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,purchaseauthorizedondanvillecascard,4.14,NA,31.04,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,elevenpurchaseelevensantamonicaca,4.43,NA,13.13,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004268529700|10000004269222300|10000004269208000,debitlevantofinanciap,0.81,1.97,0,Business Miscellaneous,FALSE,FALSE,0
1.00E+15,1.00E+17,1.00E+17,creditonerewardcreditlasvegasnv,4.43,NA,0.46,Other Income,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396770300000|10008396842801100|10008396854772700,tosharechecking,3.29,22.43,428.87,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,theupsstorepurchaseebroadwayrtempeaz,0,NA,0,Postage and Shipping,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396230256900|10008396281920300|10008396291618900|10008396602131100|10008396255726000,eonmobilmorelessoldsaybrookctservicestationswithorwithoutancillaryservices,1.8,5.2,0.77,Gasoline/Fuel,FALSE,FALSE,0
